"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1773487780070617402","Thu Mar 28 23:10:11 +0000 2024","3","Yohanes 3:16 Karena begitu besar kasih Allah akan dunia ini sehingga Ia telah mengaruniakan Anak-Nya yang tunggal supaya setiap orang yang percaya kepada-Nya tidak binasa melainkan beroleh hidup yang kekal. Selamat Memperingati Jumat Agung https://t.co/KkSGYL38re","1773487780070617402","https://pbs.twimg.com/media/GJyxuzMbcAA_1hR.jpg","","in","Indonesia","0","1","5","https://x.com/beacukaiRI/status/1773487780070617402","2940183750","beacukaiRI"
"1773342805475151919","Thu Mar 28 20:26:15 +0000 2024","0","@sisisatulagi 13 promax beacukai 12 8 nih mulussss","1773446524158001317","","youdunnowear","in","","0","0","0","https://x.com/ihzaraihann/status/1773446524158001317","1324924657137446914","ihzaraihann"
"1773243590183145564","Thu Mar 28 19:45:27 +0000 2024","1","@mazzini_gsp Ini lagi buzzer mau cri simpati rakyat. Urus tuh PSN beacukai banjir minus bansos.","1773436257659756603","","mazzini_gsp","in","","0","0","0","https://x.com/AndraRenaldy23/status/1773436257659756603","77695795","AndraRenaldy23"
"1773379029028237685","Thu Mar 28 16:15:38 +0000 2024","0","@ptrynches @aldapstsr Yang bikin gw marah hari ini 1. Okin 2. Satria mahatir 3. Host yg sama satria mahatir 4. 271 triliun 5. beacukai lanjutkan","1773383458179760523","","ptrynches","in","","0","0","1","https://x.com/Pengensendiri7/status/1773383458179760523","1616506455573823489","Pengensendiri7"
"1773364225940902131","Thu Mar 28 15:13:41 +0000 2024","0","@smoothspicess Dikira beacukai . Bukannnn","1773367867108364432","","smoothspicess","in","Jogja pedalaman. ","0","0","0","https://x.com/MENURUTMUAJA_/status/1773367867108364432","1027421801507241984","MENURUTMUAJA_"
"1773364864351601088","Thu Mar 28 15:01:45 +0000 2024","0","OPEN UNLOCK IMEI BEACUKAI &amp; KEMENPRIN PERMANEN Paket 3 Bulan 150K Paket 6 Bulan 200K Paket 1 Tahun 300K Paket Beacukai Permanen 500K Paket Kemenprin Permanen 400k PROSES 1-2 JAM PEMBAYARAN SETELAH SELESAI UNLOCK. TERDAFTAR DI WEB #Trending #zonauang https://t.co/rIuKPJqZcH","1773364864351601088","https://pbs.twimg.com/media/GJxB8McWwAAtVNo.jpg","","in","EXPO","0","0","0","https://x.com/suardiman860/status/1773364864351601088","1634576203356205056","suardiman860"
"1773294724264116616","Thu Mar 28 14:05:01 +0000 2024","0","@T0M5helby Lebay cok beacukai terlalu lebay. Pembatasan yg pergi siapa? yg ngebatesin siapa?. Yg pergi yg planing lah aneh banget cok","1773350584713678978","","T0M5helby","in","","0","0","0","https://x.com/IbenBesar/status/1773350584713678978","1720327685027835904","IbenBesar"
"1773348855624368307","Thu Mar 28 13:58:09 +0000 2024","0","Bea Cukai Lepas Ekspor Kabel Fiber Optik dari KEK Kendal #BeaCukai https://t.co/tuYiptzsjB","1773348855624368307","","","in","Indonesia","0","0","0","https://x.com/jpnncom/status/1773348855624368307","79130206","jpnncom"
"1773346539668197523","Thu Mar 28 13:48:56 +0000 2024","3","Wts jual preloved iPhone 12 128gb beacukai resmi sinyal aman 6 8 nego minus dm aja #zonaBU #zona uang https://t.co/DUOLh2TRvw","1773346539668197523","https://pbs.twimg.com/media/GJwxRHyXgAAbtVn.jpg","","in","","0","3","1","https://x.com/fleetingtime_ad/status/1773346539668197523","1123452709233840128","fleetingtime_ad"
"1773334233680949495","Thu Mar 28 13:27:37 +0000 2024","1","KMBLI KE KONTEKS TWEET kn enak kl misal di pswt ada pembalut turun/naik pesawat di WC sblm imigrasi ada pembalut jd peraturan beacukai yang rancu dikit gini gangaruh wir buat kita2 yg mens saat travelling udara. krn y mau BAWA atau GABAWA ya tersedia tu fasilitas aman aza","1773341174582935733","","thebuburayam","in","","0","0","0","https://x.com/thebuburayam/status/1773341174582935733","750013298188312576","thebuburayam"
